,tweet_id,date,time,lang,country_code
640,1356106164048601092,2021-02-01,05:04:39,en,
641,1356106168171515905,2021-02-01,05:04:40,en,
644,1356106170499538950,2021-02-01,05:04:40,en,
646,1356106172332453894,2021-02-01,05:04:41,en,
649,1356106174240878593,2021-02-01,05:04:41,en,
650,1356106175817805826,2021-02-01,05:04:42,en,
653,1356106180725252096,2021-02-01,05:04:43,en,
654,1356106184160235521,2021-02-01,05:04:44,en,
655,1356106186161082371,2021-02-01,05:04:44,en,
661,1356106194432229376,2021-02-01,05:04:46,en,
662,1356106194578927617,2021-02-01,05:04:46,en,
664,1356106194906132482,2021-02-01,05:04:46,en,
665,1356106197301161986,2021-02-01,05:04:47,en,
667,1356106201004703744,2021-02-01,05:04:48,en,
668,1356106201369432066,2021-02-01,05:04:48,en,
673,1356106208084692993,2021-02-01,05:04:49,en,
674,1356106209175220224,2021-02-01,05:04:50,en,
675,1356106209405915136,2021-02-01,05:04:50,en,
676,1356106209439477761,2021-02-01,05:04:50,en,
680,1356106222718517248,2021-02-01,05:04:53,en,
681,1356106224324886528,2021-02-01,05:04:53,en,
683,1356106226988318723,2021-02-01,05:04:54,en,
684,1356106229978816513,2021-02-01,05:04:55,en,
685,1356106230578761728,2021-02-01,05:04:55,en,
686,1356106238644412416,2021-02-01,05:04:57,en,
688,1356106244482883586,2021-02-01,05:04:58,en,
690,1356106245296578564,2021-02-01,05:04:58,en,
691,1356106245762146304,2021-02-01,05:04:58,en,
692,1356106247435661312,2021-02-01,05:04:59,en,
693,1356106251462090754,2021-02-01,05:05:00,en,
695,1356106251583827974,2021-02-01,05:05:00,en,
696,1356106251625586696,2021-02-01,05:05:00,en,
698,1356106251751534592,2021-02-01,05:05:00,en,
705,1356106258147848192,2021-02-01,05:05:01,en,
707,1356106258642681858,2021-02-01,05:05:01,en,
708,1356106258886000642,2021-02-01,05:05:02,en,
710,1356106259649486848,2021-02-01,05:05:02,en,
714,1356106261251547138,2021-02-01,05:05:02,en,
715,1356106261356564482,2021-02-01,05:05:02,en,
717,1356106262606274562,2021-02-01,05:05:02,en,
718,1356106263591940096,2021-02-01,05:05:03,en,
719,1356106264871231491,2021-02-01,05:05:03,en,
